code,name,chapter_key,chapter,sex_restriction
A280,PASTEURELOSIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A281,ENFERMEDAD POR RASGUÑO DE GATO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A282,YERSINIOSIS EXTRAINTESTINAL,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A288,"OTRAS ENFERMEDADES ZOONÓTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A289,"ENFERMEDAD ZOONÓTICA BACTERIANA, SIN OTRA ESPECIFICACIÓN",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A300,LEPRA INDETERMINADA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A301,LEPRA TUBERCULOIDE,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A302,LEPRA TUBERCULOIDE LIMÍTROFE,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A303,LEPRA LIMÍTROFE,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A304,LEPRA LEPROMATOSA LIMÍTROFE,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A305,LEPRA LEPROMATOSA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A308,OTRAS FORMAS DE LEPRA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A309,"LEPRA, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A310,INFECCIONES POR MICOBACTERIAS PULMONARES,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A311,INFECCIÓN CUTÁNEA POR MICOBACTERIAS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A318,OTRAS INFECCIONES POR MICOBACTERIAS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A319,"INFECCIÓN POR MICOBACTERIA, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A320,LISTERIOSIS CUTÁNEA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A321,MENINGITIS Y MENINGOENCEFALITIS LISTERIANA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A327,SEPSIS LISTERIANA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A328,OTRAS FORMAS DE LISTERIOSIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A329,"LISTERIOSIS, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A33X,TÉTANOS NEONATAL,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A34X,TÉTANOS OBSTÉTRICO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,M
A35X,OTROS TÉTANOS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A360,DIFTERIA FARÍNGEA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A361,DIFTERIA NASOFARÍNGEA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A362,DIFTERIA LARÍNGEA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A363,DIFTERIA CUTÁNEA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A368,OTRAS DIFTERIAS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A369,"DIFTERIA, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
